time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/21:06:57.612009,229,0,0,base_link,0.534,0.301,0.101390599385,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.621985,230,0,0,base_link,0.534,0.301,0.101265804023,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.632248,231,0,0,base_link,0.534,0.301,0.101141010523,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.641955,232,0,0,base_link,0.534,0.301,0.101016220748,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.652081,233,0,0,base_link,0.534,0.301,0.100891430974,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.662053,234,0,0,base_link,0.534,0.301,0.100766643062,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.671995,235,0,0,base_link,0.534,0.301,0.100641858876,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.682071,236,0,0,base_link,0.534,0.301,0.100517074689,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.691954,237,0,0,base_link,0.534,0.301,0.100392292365,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.702037,238,0,0,base_link,0.534,0.301,0.100267511904,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.711945,239,0,0,base_link,0.534,0.301,0.100142735168,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.722130,240,0,0,base_link,0.534,0.301,0.100017958432,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.732029,241,0,0,base_link,0.534,0.301,0.0998931835592,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.742056,242,0,0,base_link,0.534,0.301,0.0997684124112,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.752047,243,0,0,base_link,0.534,0.301,0.0996436412632,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.761972,244,0,0,base_link,0.534,0.301,0.0995188719779,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.772053,245,0,0,base_link,0.534,0.301,0.0993941045552,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.782005,246,0,0,base_link,0.534,0.301,0.0992693408579,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.791958,247,0,0,base_link,0.534,0.301,0.0991445771605,-0.3828,0.9238,0.0,0.0
