,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:18:55.774186,2022/10/27/22:18:55.77,5406580,1666934335,773656420,tool0_controller,-1.460552518,0.216169131,-0.483222522,0.005585081,0.030980939,0.008818603,,2022/10/27/22:18:56.56,-0.283439857
2022/10/27/22:18:55.777403,2022/10/27/22:18:55.77,5406581,1666934335,775369476,tool0_controller,-1.443425996,-0.009723127,-0.416966583,0.003274041,0.024785429,0.006733914,,2022/10/27/22:18:56.57,-0.578061737
2022/10/27/22:18:55.777806,2022/10/27/22:18:55.77,5406582,1666934335,777281138,tool0_controller,-1.270253484,-0.213078767,-0.432489526,-0.004690537,0.021174696,-0.002318298,,2022/10/27/22:18:56.58,-0.64769118
2022/10/27/22:18:55.780578,2022/10/27/22:18:55.78,5406583,1666934335,780092252,tool0_controller,-1.406089723,0.017390335,-0.55807214,0.004897478,0.024902728,0.004587094,,2022/10/27/22:18:56.59,-0.788425212
2022/10/27/22:18:55.782216,2022/10/27/22:18:55.78,5406584,1666934335,781906681,tool0_controller,-1.486127187,-0.070910693,-0.378878369,0.00330049,0.029822794,0.00368034,,2022/10/27/22:18:56.60,-0.314527486
2022/10/27/22:18:55.783840,2022/10/27/22:18:55.78,5406585,1666934335,783686838,tool0_controller,-1.289781352,0.362223678,-0.412820283,-0.003414062,0.034330441,0.011449343,,2022/10/27/22:18:56.61,-0.539799203
2022/10/27/22:18:55.786032,2022/10/27/22:18:55.78,5406586,1666934335,785454011,tool0_controller,-1.495962521,-0.067752052,-0.510425768,-0.000145838,0.03363674,0.004624128,,2022/10/27/22:18:56.62,-0.358855733
2022/10/27/22:18:55.787703,2022/10/27/22:18:55.78,5406587,1666934335,787204275,tool0_controller,-1.322165195,0.032812192,-0.810128741,0.002902867,0.03137523,0.001211995,,2022/10/27/22:18:56.63,-0.894660873
2022/10/27/22:18:55.789379,2022/10/27/22:18:55.78,5406588,1666934335,788971654,tool0_controller,-1.38198855,0.098646212,-0.600729667,0.00613592,0.017602937,-0.001454857,,2022/10/27/22:18:56.64,-0.406432243
2022/10/27/22:18:55.791031,2022/10/27/22:18:55.79,5406589,1666934335,790662755,tool0_controller,-1.349646403,0.41720608,-0.785973617,0.007343937,0.01794894,0.005782835,,2022/10/27/22:18:56.65,-0.516777784
2022/10/27/22:18:55.792707,2022/10/27/22:18:55.79,5406590,1666934335,792353183,tool0_controller,-1.290430233,0.025092118,-0.789770227,0.008380605,0.015448703,-0.002301388,,2022/10/27/22:18:56.66,-0.321716737
