,resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique timestamp,Force.z
2022/10/20/22:00:01.023044,2022/10/20/22:00:01.02,3399002,1666328401,22432956,tool0_controller,-0.264465161,-0.15278817,0.026252482,-0.081275777,0.0042545,-0.005292102,2022/10/20/22:00:01.73,0.705385325
2022/10/20/22:00:01.024640,2022/10/20/22:00:01.02,3399003,1666328401,24404752,tool0_controller,-0.113007971,-0.18845621,0.506039532,-0.073275983,0.009475894,-5.01E-05,2022/10/20/22:00:01.74,0.401259325
2022/10/20/22:00:01.026950,2022/10/20/22:00:01.02,3399004,1666328401,26419490,tool0_controller,-0.282515057,-0.043199046,0.187662681,-0.076463925,0.021833734,-0.002690182,2022/10/20/22:00:01.75,-0.187398852
2022/10/20/22:00:01.028567,2022/10/20/22:00:01.02,3399005,1666328401,28386878,tool0_controller,-0.098720549,0.129138799,0.181169189,-0.078710142,0.004039352,-0.008592236,2022/10/20/22:00:01.76,1.319096632
2022/10/20/22:00:01.030811,2022/10/20/22:00:01.03,3399006,1666328401,30445698,tool0_controller,-0.216135205,0.218940461,-0.236402713,-0.073346619,0.000514837,-0.008556933,2022/10/20/22:00:01.77,0.225940858
2022/10/20/22:00:01.034732,2022/10/20/22:00:01.03,3399007,1666328401,34295992,tool0_controller,-0.375921582,0.176758287,-0.583861281,-0.076617924,0.003073692,-0.001333993,2022/10/20/22:00:01.78,-1.350039513
2022/10/20/22:00:01.038677,2022/10/20/22:00:01.03,3399008,1666328401,38088702,tool0_controller,-0.243231635,-0.329423102,-0.354193201,-0.08231867,-0.016376259,-0.003381915,2022/10/20/22:00:01.79,0.190539103
2022/10/20/22:00:01.043015,2022/10/20/22:00:01.04,3399009,1666328401,42112395,tool0_controller,-0.342602235,-0.305911812,-0.563444736,-0.07756231,-0.000994884,0.005707334,2022/10/20/22:00:01.80,-0.09866431
2022/10/20/22:00:01.045414,2022/10/20/22:00:01.04,3399010,1666328401,44748425,tool0_controller,-0.01545878,-0.194970655,0.101067714,-0.08008141,-0.001906218,0.002383158,2022/10/20/22:00:01.81,0.600012689
2022/10/20/22:00:01.047687,2022/10/20/22:00:01.04,3399011,1666328401,47171747,tool0_controller,-0.06256454,0.009757639,0.479103731,-0.070519732,0.005145988,-0.00410889,2022/10/20/22:00:01.82,0.354165665
2022/10/20/22:00:01.049906,2022/10/20/22:00:01.04,3399012,1666328401,49586449,tool0_controller,0.156130817,0.273942404,0.074519228,-0.07172292,0.019338235,-0.007769632,2022/10/20/22:00:01.83,-0.563126955
2022/10/20/22:00:01.052171,2022/10/20/22:00:01.05,3399013,1666328401,51714303,tool0_controller,0.170047493,0.304602257,0.470117974,-0.083634472,0.005140811,-0.010956257,2022/10/20/22:00:01.84,0.00845675
2022/10/20/22:00:01.053844,2022/10/20/22:00:01.05,3399014,1666328401,53310768,tool0_controller,-0.119432657,0.063433509,-0.385374002,-0.077133991,0.008351732,-0.009224417,2022/10/20/22:00:01.85,0.596222547
2022/10/20/22:00:01.055532,2022/10/20/22:00:01.05,3399015,1666328401,54892218,tool0_controller,0.046073021,-0.148628428,-0.639633906,-0.073901452,-0.005099878,-0.006346655,2022/10/20/22:00:01.86,0.098761809
2022/10/20/22:00:01.056674,2022/10/20/22:00:01.05,3399016,1666328401,56473259,tool0_controller,-0.041282509,-0.515331511,-0.006912019,-0.076993302,-0.004698154,-0.007886948,2022/10/20/22:00:01.87,-0.15372695
2022/10/20/22:00:01.058354,2022/10/20/22:00:01.05,3399017,1666328401,58036793,tool0_controller,-0.498207511,-0.164325959,0.187437349,-0.081730325,0.030364161,0.006133407,2022/10/20/22:00:01.88,-0.20119949
2022/10/20/22:00:01.060045,2022/10/20/22:00:01.06,3399018,1666328401,59602382,tool0_controller,-0.570718837,-0.245816187,0.109538472,-0.077875168,0.032166397,0.00695722,2022/10/20/22:00:01.89,-0.796269555
2022/10/20/22:00:01.061722,2022/10/20/22:00:01.06,3399019,1666328401,61107876,tool0_controller,-0.532655474,-0.303442482,-0.312643231,-0.075349866,0.015090027,-0.003858753,2022/10/20/22:00:01.90,-1.136174744
2022/10/20/22:00:01.062860,2022/10/20/22:00:01.06,3399020,1666328401,62356774,tool0_controller,-0.26883573,0.053960508,-0.490369404,-0.068261175,-0.017643629,-0.006089071,2022/10/20/22:00:01.91,0.236768536
2022/10/20/22:00:01.063984,2022/10/20/22:00:01.06,3399021,1666328401,63639505,tool0_controller,-0.025919012,0.143952505,-0.644524633,-0.068354907,-0.029919035,-0.007462134,2022/10/20/22:00:01.92,-0.094691905
2022/10/20/22:00:01.065111,2022/10/20/22:00:01.06,3399022,1666328401,64940987,tool0_controller,0.229492976,0.063048666,-0.285511401,-0.06342059,-0.011049907,-0.013421513,2022/10/20/22:00:01.93,0.222594561
2022/10/20/22:00:01.066808,2022/10/20/22:00:01.06,3399023,1666328401,66201481,tool0_controller,0.087886542,-0.005144893,0.692157756,-0.069027477,0.0201398,-0.014396807,2022/10/20/22:00:01.94,0.069664654
