time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.199994,7026236,1667449000,199786175,tool0_controller,0.042481771,0.417824948,0.816552678,-0.011535676,-0.01576624,0.011135404,,,,,,,,,,,
2022/11/02/21:16:40.201665,7026237,1667449000,201542644,tool0_controller,0.054478495,0.570240844,0.606394814,-0.012838906,-0.018617348,0.006399853,,,,,,,,,,,
2022/11/02/21:16:40.203893,7026238,1667449000,203530945,tool0_controller,0.100104655,0.312009423,0.549613158,-0.003302368,-0.015972442,0.000654395,,,,,,,,,,,
2022/11/02/21:16:40.206214,7026239,1667449000,205520121,tool0_controller,-0.211084187,0.469141617,0.510311769,-0.006186659,-0.014063473,0.002804762,,,,,,,,,,,
2022/11/02/21:16:40.207857,7026240,1667449000,207511126,tool0_controller,-0.15555867,0.46233373,0.457824974,-0.012523362,-0.015280091,0.008625077,,,,,,,,,,,
2022/11/02/21:16:40.210139,7026241,1667449000,209573724,tool0_controller,-0.092301457,0.625333191,0.539491734,-0.005357426,-0.02205849,0.006077935,,,,,,,,,,,
2022/11/02/21:16:40.216363,7026242,1667449000,215767809,tool0_controller,-0.146518272,0.462514672,0.528049853,-0.005958917,-0.018344032,0.000289651,,,,,,,,,,,
2022/11/02/21:16:40.221261,7026243,1667449000,220788672,tool0_controller,-0.25977063,0.419448862,0.586530835,0.001831084,-0.011792966,8.87E-05,,,,,,,,,,,
2022/11/02/21:16:40.225413,7026244,1667449000,225128648,tool0_controller,-0.159278132,0.50823455,0.660471015,-0.014351265,-0.012849014,0.009203745,,,,,,,,,,,
2022/11/02/21:16:40.229249,7026245,1667449000,228606851,tool0_controller,-0.066479684,0.598355239,0.514446595,-0.007213328,-0.015532941,0.012038509,,,,,,,,,,,
2022/11/02/21:16:40.232330,7026246,1667449000,231917417,tool0_controller,0.112875249,0.434425471,0.597700294,-0.012634243,-0.018968153,0.009637946,,,,,,,,,,,
2022/11/02/21:16:40.234539,7026247,1667449000,234082328,tool0_controller,0.103079026,0.225715423,0.721434284,-0.008060498,-0.015726155,-0.003217562,,,,,,,,,,,
