t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
2845,1.00,0.00,-0.00,-0.01,-23,12,128
2846,1.00,0.00,-0.00,-0.01,-46,-69,158
2847,1.00,0.00,-0.00,-0.01,-33,-117,254
2848,1.00,0.00,-0.00,-0.01,45,-105,215
2849,1.00,0.00,-0.00,-0.01,43,-81,49
2850,1.00,0.00,-0.00,-0.01,64,-56,24
2851,1.00,0.00,-0.00,-0.01,89,-16,-46
2852,1.00,0.00,-0.00,-0.01,31,-10,-74
2853,1.00,0.00,-0.00,-0.01,72,5,-195
2854,1.00,0.00,-0.00,-0.01,81,13,-304
2855,1.00,0.00,-0.00,-0.01,15,0,-231
2856,1.00,0.00,-0.00,-0.01,-95,45,-122
2857,1.00,0.00,-0.00,-0.01,-113,133,-102
2858,1.00,0.00,-0.00,-0.01,-109,154,14
2859,1.00,0.00,-0.00,-0.01,-122,143,117
2860,1.00,0.00,-0.00,-0.01,-145,93,253
2861,1.00,0.00,-0.00,-0.01,-141,40,280
2862,1.00,0.00,-0.00,-0.01,-25,16,205
2863,1.00,0.00,-0.00,-0.01,72,-70,154
2864,1.00,0.00,-0.00,-0.01,126,-120,58
2865,1.00,0.00,-0.00,-0.01,196,-143,-64
2866,1.00,0.00,-0.00,-0.01,157,-153,-75
2867,1.00,0.00,-0.00,-0.01,152,-116,-105
2868,1.00,0.00,-0.00,-0.01,76,-111,-138
2869,1.00,0.00,-0.00,-0.01,-19,-85,-138
2870,1.00,0.00,-0.00,-0.01,-44,4,-192
2871,1.00,0.00,-0.00,-0.01,-138,52,-162
2872,1.00,0.00,-0.00,-0.01,-165,99,-48
2873,1.00,0.00,-0.00,-0.01,-176,138,-8
2874,1.00,0.00,-0.00,-0.01,-163,135,29
2875,1.00,0.00,-0.00,-0.01,-65,73,85
2876,1.00,0.00,-0.00,-0.01,-24,59,62
2877,1.00,0.00,0.00,-0.01,-7,13,151
2878,1.00,0.00,-0.00,-0.01,9,-28,198
2879,1.00,0.00,-0.00,-0.01,37,-49,116
2880,1.00,0.00,-0.00,-0.01,68,-96,171
2881,1.00,0.00,-0.00,-0.01,52,-79,116
2882,1.00,0.00,-0.00,-0.01,94,-90,38
2883,1.00,0.00,-0.00,-0.01,83,-142,-88
2884,1.00,0.00,-0.00,-0.01,76,-145,-213
2885,1.00,0.00,-0.00,-0.01,147,-146,-275
2886,1.00,0.00,-0.00,-0.01,88,-74,-303
2887,1.00,0.00,-0.00,-0.01,42,16,-298
2888,1.00,0.00,-0.00,-0.01,-31,36,-149
2889,1.00,0.00,-0.00,-0.01,-135,68,-25
2890,1.00,0.00,-0.00,-0.01,-134,122,132
2891,1.00,0.00,-0.00,-0.01,-189,106,259
2892,1.00,0.00,-0.00,-0.01,-79,43,252
2893,1.00,0.00,-0.00,-0.01,19,-81,222
