w,x,y,z,ax,ay,az
0.29,-0.11,0.92,-0.22,2069,644,1369

0.28,-0.11,0.93,-0.22,2064,649,1425

0.27,-0.11,0.93,-0.23,2062,648,1535

0.26,-0.11,0.93,-0.23,2045,667,1670

0.25,-0.11,0.93,-0.23,2067,698,1738

0.24,-0.11,0.94,-0.23,2186,690,1736

0.23,-0.10,0.94,-0.24,2202,666,1665

0.22,-0.10,0.94,-0.24,2159,668,1641

0.21,-0.10,0.94,-0.24,2236,656,1549

0.20,-0.10,0.94,-0.24,2409,603,1358

0.20,-0.10,0.95,-0.24,2406,558,1334

0.19,-0.10,0.95,-0.24,2394,510,1306

0.19,-0.10,0.95,-0.24,2439,454,1208

0.18,-0.10,0.95,-0.24,2391,386,1125

0.18,-0.09,0.95,-0.24,2299,335,1022

0.17,-0.09,0.95,-0.24,2191,332,1005

0.16,-0.09,0.95,-0.25,2082,365,1023

0.16,-0.09,0.95,-0.25,2044,401,1007

0.16,-0.09,0.95,-0.25,1995,431,1015

0.15,-0.08,0.95,-0.25,1917,479,1040

0.15,-0.08,0.95,-0.25,1937,465,1059

0.14,-0.08,0.95,-0.25,1958,403,1022

0.13,-0.08,0.95,-0.25,1886,393,938

0.13,-0.08,0.96,-0.25,1812,379,837

0.12,-0.08,0.96,-0.25,1760,346,675

0.11,-0.08,0.96,-0.25,1810,250,503

0.10,-0.08,0.96,-0.25,1868,175,417

0.10,-0.08,0.96,-0.25,1933,111,441

0.09,-0.08,0.96,-0.25,2012,74,426

0.08,-0.08,0.96,-0.25,2068,42,349

0.08,-0.08,0.96,-0.25,2105,37,405

0.07,-0.08,0.96,-0.26,2180,67,409

0.07,-0.08,0.96,-0.26,2234,109,457

0.07,-0.07,0.96,-0.26,2209,127,557

0.07,-0.07,0.96,-0.27,2133,147,596

0.07,-0.07,0.96,-0.27,1943,241,694

0.07,-0.07,0.96,-0.27,1669,360,770

0.06,-0.07,0.96,-0.27,1523,397,687

0.06,-0.07,0.96,-0.27,1535,363,615

0.06,-0.07,0.96,-0.27,1543,316,624

0.06,-0.07,0.96,-0.27,1454,309,738

0.06,-0.07,0.96,-0.27,1351,307,766

0.07,-0.07,0.96,-0.27,1337,295,742

0.07,-0.06,0.96,-0.27,1338,282,771

0.07,-0.06,0.96,-0.27,1346,315,863

0.07,-0.06,0.96,-0.27,1352,370,965

0.08,-0.06,0.96,-0.27,1280,430,1075

0.08,-0.06,0.96,-0.27,1203,412,1122

0.09,-0.06,0.96,-0.27,1214,382,1104

0.10,-0.06,0.96,-0.26,1247,329,1083

0.11,-0.06,0.96,-0.26,1261,232,1083

0.13,-0.06,0.96,-0.26,1254,89,1062

0.14,-0.06,0.95,-0.26,1146,-6,1146

0.16,-0.06,0.95,-0.25,935,-98,1198

0.18,-0.06,0.95,-0.25,759,-148,1121

0.20,-0.06,0.95,-0.25,566,-167,1164

0.22,-0.06,0.94,-0.25,420,-261,1184

0.24,-0.06,0.94,-0.24,380,-365,1080

0.26,-0.07,0.93,-0.24,276,-440,1144

0.29,-0.07,0.92,-0.24,61,-438,1129

0.32,-0.07,0.92,-0.24,-82,-489,995

0.34,-0.07,0.91,-0.23,-266,-565,858

0.37,-0.07,0.90,-0.23,-601,-538,796

0.39,-0.08,0.89,-0.22,-1107,-483,645

0.40,-0.08,0.89,-0.22,-1486,-442,439

0.41,-0.08,0.88,-0.21,-1410,-481,173

0.42,-0.08,0.88,-0.21,-1107,-497,63

0.44,-0.09,0.87,-0.20,-831,-450,277

0.45,-0.09,0.87,-0.20,-599,-375,664

0.46,-0.09,0.86,-0.19,-427,-224,1050

0.48,-0.09,0.85,-0.19,-396,-75,1325

0.50,-0.09,0.84,-0.19,-566,57,1483

0.51,-0.10,0.83,-0.18,-894,201,1590

0.53,-0.10,0.82,-0.18,-1208,289,1647

0.54,-0.10,0.82,-0.17,-1373,325,1683

0.56,-0.10,0.81,-0.17,-1324,285,1667

0.57,-0.10,0.80,-0.16,-1104,197,1638

0.58,-0.11,0.79,-0.16,-853,97,1675

0.59,-0.11,0.79,-0.15,-660,40,1754

0.60,-0.11,0.78,-0.15,-517,31,1832

0.61,-0.11,0.77,-0.14,-472,52,1835

0.62,-0.11,0.76,-0.14,-433,102,1790

0.64,-0.11,0.75,-0.13,-369,155,1722

0.65,-0.11,0.74,-0.12,-397,188,1659

0.67,-0.11,0.73,-0.12,-586,225,1641

0.68,-0.11,0.72,-0.11,-941,259,1633

0.69,-0.11,0.71,-0.11,-1077,262,1502

0.70,-0.12,0.70,-0.10,-1008,222,1306

0.71,-0.12,0.69,-0.10,-947,202,1128

0.71,-0.12,0.68,-0.09,-839,198,1018

0.72,-0.12,0.68,-0.09,-665,180,1046

0.72,-0.12,0.67,-0.09,-532,157,1202

0.73,-0.12,0.67,-0.08,-423,134,1463

0.74,-0.12,0.66,-0.08,-390,120,1711

0.74,-0.12,0.65,-0.08,-388,132,1871

0.75,-0.12,0.64,-0.07,-405,154,1907

0.76,-0.12,0.63,-0.07,-483,141,1919

0.77,-0.12,0.62,-0.07,-670,144,1969

0.78,-0.12,0.61,-0.06,-968,157,1970

0.79,-0.12,0.60,-0.06,-1219,152,1981

0.80,-0.12,0.59,-0.06,-1342,147,1943

0.81,-0.12,0.58,-0.05,-1448,126,1898

0.81,-0.12,0.57,-0.05,-1677,150,1842

0.82,-0.13,0.56,-0.04,-1752,157,1903

0.83,-0.13,0.55,-0.04,-1804,116,2052

0.83,-0.13,0.54,-0.04,-1939,72,2148

0.84,-0.13,0.53,-0.03,-1913,0,2204

0.85,-0.13,0.51,-0.03,-1809,-73,2187

0.85,-0.13,0.50,-0.03,-1765,-142,2081

0.86,-0.12,0.49,-0.03,-1793,-175,1938

0.87,-0.12,0.48,-0.02,-1829,-239,1853

0.87,-0.12,0.47,-0.02,-1824,-303,1834

0.88,-0.12,0.46,-0.02,-1834,-346,1782

0.88,-0.12,0.45,-0.01,-1759,-386,1746

0.89,-0.12,0.44,-0.01,-1655,-394,1753

0.90,-0.12,0.43,-0.01,-1618,-376,1706

0.90,-0.12,0.41,-0.01,-1608,-343,1595

0.91,-0.12,0.40,-0.00,-1606,-293,1461

0.91,-0.12,0.39,-0.00,-1618,-242,1306

0.92,-0.12,0.38,-0.00,-1612,-196,1233

0.92,-0.12,0.36,0.00,-1607,-207,1252

0.93,-0.12,0.35,0.00,-1641,-214,1289

0.93,-0.12,0.34,0.00,-1658,-188,1283

0.94,-0.11,0.33,0.00,-1601,-116,1221

0.94,-0.11,0.32,0.01,-1554,-29,1154

0.94,-0.11,0.31,0.01,-1572,31,1093

0.95,-0.11,0.30,0.01,-1649,42,1057

0.95,-0.11,0.29,0.01,-1766,28,1069

0.95,-0.11,0.28,0.01,-1907,-18,1123

0.96,-0.11,0.27,0.01,-2067,-93,1149

0.96,-0.11,0.26,0.01,-2191,-204,1192

0.96,-0.11,0.25,0.01,-2276,-363,1269

0.96,-0.11,0.24,0.01,-2326,-512,1324

0.97,-0.10,0.23,0.01,-2297,-645,1382

0.97,-0.10,0.22,0.01,-2257,-740,1368

0.97,-0.10,0.21,0.02,-2216,-786,1260
